EURMALEbirth,EURMmodeage2dp,EURFmodeage2dp,EURMmoderawage,EURFmoderawage,EURMrawMedian,EURFrawMedian,EURMrawMean,EURFrawMean,EURMIntMedian,EURFIntMedian,EURMIntMean,EURFIntMean,EURMbulkperctotal,EURFbulkperctotal,EURMperc76overTotal,EURFperc76overTotal,EURMperc60to76,EURFperc60to76,EURMperceld0,EURFperceld0,EUMMmodeage2dp,EUMFmodeage2dp,EUMMmoderawage,EUMFmoderawage,EUMMrawMedian,EUMFrawMedian,EUMMrawMean,EUMFrawMean,EUMMIntMedian,EUMFIntMedian,EUMMIntMean,EUMFIntMean,EUMMbulkperctotal,EUMFbulkperctotal,EUMMperc76overTotal,EUMFperc76overTotal,EUMMperc60to76,EUMFperc60to76,EUMMperceld0,EUMFperceld0,DENMmodeage2dp,DENFmodeage2dp,DENMmoderawage,DENFmoderawage,DENMrawMedian,DENFrawMedian,DENMrawMean,DENFrawMean,DENMIntMedian,DENFIntMedian,DENMIntMean,DENFIntMean,DENMbulkperctotal,DENFbulkperctotal,DENMperc76overTotal,DENFperc76overTotal,DENMperc60to76,DENFperc60to76,DENMperceld0,DENFperceld0,FINMmodeage2dp,FINFmodeage2dp,FINMmoderawage,FINFmoderawage,FINMrawMedian,FINFrawMedian,FINMrawMean,FINFrawMean,FINMIntMedian,FINFIntMedian,FINMIntMean,FINFIntMean,FINMbulkperctotal,FINFbulkperctotal,FINMperc76overTotal,FINFperc76overTotal,FINMperc60to76,FINFperc60to76,FINMperceld0,FINFperceld0,FRAMmodeage2dp,FRAFmodeage2dp,FRAMmoderawage,FRAFmoderawage,FRAMrawMedian,FRAFrawMedian,FRAMrawMean,FRAFrawMean,FRAMIntMedian,FRAFIntMedian,FRAMIntMean,FRAFIntMean,FRAMbulkperctotal,FRAFbulkperctotal,FRAMperc76overTotal,FRAFperc76overTotal,FRAMperc60to76,FRAFperc60to76,FRAMperceld0,FRAFperceld0,ICEMmodeage2dp,ICEFmodeage2dp,ICEMmoderawage,ICEFmoderawage,ICEMrawMedian,ICEFrawMedian,ICEMrawMean,ICEFrawMean,ICEMIntMedian,ICEFIntMedian,ICEMIntMean,ICEFIntMean,ICEMbulkperctotal,ICEFbulkperctotal,ICEMperc76overTotal,ICEFperc76overTotal,ICEMperc60to76,ICEFperc60to76,ICEMperceld0,ICEFperceld0,ITAMmodeage2dp,ITAFmodeage2dp,ITAMmoderawage,ITAFmoderawage,ITAMrawMedian,ITAFrawMedian,ITAMrawMean,ITAFrawMean,ITAMIntMedian,ITAFIntMedian,ITAMIntMean,ITAFIntMean,ITAMbulkperctotal,ITAFbulkperctotal,ITAMperc76overTotal,ITAFperc76overTotal,ITAMperc60to76,ITAFperc60to76,ITAMperceld0,ITAFperceld0,NETMmodeage2dp,NETFmodeage2dp,NETMmoderawage,NETFmoderawage,NETMrawMedian,NETFrawMedian,NETMrawMean,NETFrawMean,NETMIntMedian,NETFIntMedian,NETMIntMean,NETFIntMean,NETMbulkperctotal,NETFbulkperctotal,NETMperc76overTotal,NETFperc76overTotal,NETMperc60to76,NETFperc60to76,NETMperceld0,NETFperceld0,NORMmodeage2dp,NORFmodeage2dp,NORMmoderawage,NORFmoderawage,NORMrawMedian,NORFrawMedian,NORMrawMean,NORFrawMean,NORMIntMedian,NORFIntMedian,NORMIntMean,NORFIntMean,NORMbulkperctotal,NORFbulkperctotal,NORMperc76overTotal,NORFperc76overTotal,NORMperc60to76,NORFperc60to76,NORMperceld0,NORFperceld0,SWEMmodeage2dp,SWEFmodeage2dp,SWEMmoderawage,SWEFmoderawage,SWEMrawMedian,SWEFrawMedian,SWEMrawMean,SWEFrawMean,SWEMIntMedian,SWEFIntMedian,SWEMIntMean,SWEFIntMean,SWEMbulkperctotal,SWEFbulkperctotal,SWEMperc76overTotal,SWEFperc76overTotal,SWEMperc60to76,SWEFperc60to76,SWEMperceld0,SWEFperceld0,SWIMmodeage2dp,SWIFmodeage2dp,SWIMmoderawage,SWIFmoderawage,SWIMrawMedian,SWIFrawMedian,SWIMrawMean,SWIFrawMean,SWIMIntMedian,SWIFIntMedian,SWIMIntMean,SWIFIntMean,SWIMbulkperctotal,SWIFbulkperctotal,SWIMperc76overTotal,SWIFperc76overTotal,SWIMperc60to76,SWIFperc60to76,SWIMperceld0,SWIFperceld0
1910,78.74604,87.32377,79.5,88.5,,,,,,,,,,,,,,,,,78.73215,86.65099,79.5,85.5,,,,,,,,,,,,,,,,,78.22382,85.30602,79.5,83.5,,,,,,,,,,,,,,,,,74.51621,84.78222,74.5,85.5,,,,,,,,,,,,,,,,,79.97185,88.25478,79.5,88.5,,,,,,,,,,,,,,,,,77.26151,85.07147,75.5,83.5,,,,,,,,,,,,,,,,,77.80822,86.8694,75.5,88.5,,,,,,,,,,,,,,,,,77.96108,86.92726,79.5,85.5,,,,,,,,,,,,,,,,,78.92799,86.49768,78.5,87.5,,,,,,,,,,,,,,,,,80.27768,86.85411,79.5,88.5,,,,,,,,,,,,,,,,,81.14942,88.45923,81.5,89.5,,,,,,,,,,,,,,,,
1911,79.49471,87.40266,80.5,87.5,,,,,,,,,,,,,,,,,79.10746,87.06816,77.5,87.5,,,,,,,,,,,,,,,,,78.41592,85.08359,78.5,84.5,,,,,,,,,,,,,,,,,75.43808,84.54714,78.5,84.5,,,,,,,,,,,,,,,,,81.51484,88.15634,82.5,88.5,,,,,,,,,,,,,,,,,82.58867,87.5912,82.5,87.5,,,,,,,,,,,,,,,,,78.56821,87.10438,80.5,87.5,,,,,,,,,,,,,,,,,78.63148,86.96206,78.5,87.5,,,,,,,,,,,,,,,,,79.35415,87.19292,77.5,88.5,,,,,,,,,,,,,,,,,80.07808,88.13737,77.5,88.5,,,,,,,,,,,,,,,,,80.95637,87.76561,80.5,87.5,,,,,,,,,,,,,,,,
1912,80.49463,87.40882,81.5,86.5,,,,,,,,,,,,,,,,,79.49468,86.95958,81.5,86.5,,,,,,,,,,,,,,,,,77.90552,83.98552,78.5,83.5,,,,,,,,,,,,,,,,,75.74801,84.87253,74.5,86.5,,,,,,,,,,,,,,,,,82.43417,88.24063,81.5,87.5,,,,,,,,,,,,,,,,,78.62173,85.83983,75.5,86.5,,,,,,,,,,,,,,,,,80.14384,87.07769,80.5,86.5,,,,,,,,,,,,,,,,,79.70412,86.80318,81.5,86.5,,,,,,,,,,,,,,,,,79.37975,86.79651,79.5,86.5,,,,,,,,,,,,,,,,,80.63469,87.78672,80.5,87.5,,,,,,,,,,,,,,,,,80.60517,88.13943,77.5,87.5,,,,,,,,,,,,,,,,
1913,80.72425,87.70728,80.5,86.5,,,,,,,,,,,,,,,,,79.87083,87.18477,80.5,87.5,,,,,,,,,,,,,,,,,78.862,85.64115,77.5,87.5,,,,,,,,,,,,,,,,,75.849,85.217,73.5,84.5,,,,,,,,,,,,,,,,,82.70041,88.48966,83.5,88.5,,,,,,,,,,,,,,,,,83.08438,87.09063,83.5,89.5,,,,,,,,,,,,,,,,,80.14234,85.89313,80.5,85.5,,,,,,,,,,,,,,,,,79.59143,86.91227,82.5,87.5,,,,,,,,,,,,,,,,,79.03289,86.95436,80.5,87.5,,,,,,,,,,,,,,,,,80.92588,87.38149,80.5,86.5,,,,,,,,,,,,,,,,,81.11194,88.15906,80.5,86.5,,,,,,,,,,,,,,,,
1914,81.14995,87.71798,81.5,88.5,,,,,,,,,,,,,,,,,79.57988,87.19616,81.5,87.5,,,,,,,,,,,,,,,,,78.71185,85.54143,77.5,81.5,,,,,,,,,,,,,,,,,77.28633,85.54069,77.5,88.5,,,,,,,,,,,,,,,,,83.08101,88.26843,82.5,88.5,,,,,,,,,,,,,,,,,80.54294,85.89467,80.5,84.5,,,,,,,,,,,,,,,,,80.92033,87.66728,79.5,88.5,,,,,,,,,,,,,,,,,79.14174,86.85225,79.5,86.5,,,,,,,,,,,,,,,,,79.71637,86.80619,81.5,85.5,,,,,,,,,,,,,,,,,80.68791,87.63567,81.5,88.5,,,,,,,,,,,,,,,,,82.13299,88.38252,83.5,89.5,,,,,,,,,,,,,,,,
1915,81.35489,87.56867,81.5,87.5,,,,,,,,,,,,,,,,,79.86959,86.9819,78.5,86.5,,,,,,,,,,,,,,,,,78.87501,86.1075,78.5,86.5,,,,,,,,,,,,,,,,,77.00975,85.53393,76.5,86.5,,,,,,,,,,,,,,,,,82.74467,88.3367,83.5,88.5,,,,,,,,,,,,,,,,,82.02397,86.68846,83.5,83.5,,,,,,,,,,,,,,,,,81.60874,87.74826,81.5,87.5,,,,,,,,,,,,,,,,,78.86713,86.87781,78.5,87.5,,,,,,,,,,,,,,,,,81.36727,86.67594,81.5,86.5,,,,,,,,,,,,,,,,,80.94042,87.37241,78.5,86.5,,,,,,,,,,,,,,,,,82.11632,88.1407,81.5,88.5,,,,,,,,,,,,,,,,
1916,80.90804,87.47365,82.5,87.5,,,,,,,,,,,,,,,,,79.96936,86.84327,79.5,86.5,,,,,,,,,,,,,,,,,77.89865,85.70177,79.5,87.5,,,,,,,,,,,,,,,,,76.57171,85.67846,76.5,86.5,,,,,,,,,,,,,,,,,82.04596,88.25492,82.5,87.5,,,,,,,,,,,,,,,,,81.16101,87.34617,78.5,83.5,,,,,,,,,,,,,,,,,81.21228,87.80433,82.5,87.5,,,,,,,,,,,,,,,,,79.18399,86.35333,79.5,86.5,,,,,,,,,,,,,,,,,81.07307,86.54375,79.5,86.5,,,,,,,,,,,,,,,,,81.8542,87.63702,82.5,86.5,,,,,,,,,,,,,,,,,81.59786,88.06944,82.5,86.5,,,,,,,,,,,,,,,,
1917,81.0962,87.83059,81.5,86.5,,,,,,,,,,,,,,,,,79.97072,86.96847,78.5,86.5,,,,,,,,,,,,,,,,,77.91034,84.68501,78.5,84.5,,,,,,,,,,,,,,,,,76.84658,86.14402,75.5,86.5,,,,,,,,,,,,,,,,,82.83973,89.05406,81.5,90.5,,,,,,,,,,,,,,,,,81.42851,86.72484,78.5,81.5,,,,,,,,,,,,,,,,,81.10651,90.44698,81.5,90.5,,,,,,,,,,,,,,,,,79.45177,86.08917,78.5,86.5,,,,,,,,,,,,,,,,,80.36546,87.36907,76.5,86.5,,,,,,,,,,,,,,,,,82.20834,87.78158,84.5,88.5,,,,,,,,,,,,,,,,,81.97698,88.55663,82.5,89.5,,,,,,,,,,,,,,,,
1918,80.92164,88.48596,80.5,89.5,,,,,,,,,,,,,,,,,79.92707,87.15578,77.5,88.5,,,,,,,,,,,,,,,,,77.6028,86.40029,77.5,88.5,,,,,,,,,,,,,,,,,77.6785,85.66891,77.5,83.5,,,,,,,,,,,,,,,,,82.48925,89.41429,83.5,89.5,,,,,,,,,,,,,,,,,80.81197,87.55767,78.5,89.5,,,,,,,,,,,,,,,,,81.01091,89.58135,80.5,89.5,,,,,,,,,,,,,,,,,78.8489,86.00311,77.5,84.5,,,,,,,,,,,,,,,,,80.69496,87.8168,81.5,88.5,,,,,,,,,,,,,,,,,82.37889,88.03262,81.5,88.5,,,,,,,,,,,,,,,,,82.50854,88.16982,81.5,90.5,,,,,,,,,,,,,,,,
1919,81.60727,88.95929,82.5,89.5,,,,,,,,,,,,,,,,,80.52111,87.80761,80.5,87.5,,,,,,,,,,,,,,,,,77.31623,85.75521,76.5,84.5,,,,,,,,,,,,,,,,,77.42725,86.30927,78.5,83.5,,,,,,,,,,,,,,,,,82.93411,89.84871,82.5,89.5,,,,,,,,,,,,,,,,,83.50123,87.77181,78.5,88.5,,,,,,,,,,,,,,,,,81.38809,89.06606,82.5,89.5,,,,,,,,,,,,,,,,,79.02599,86.60777,77.5,86.5,,,,,,,,,,,,,,,,,80.40059,87.36132,83.5,87.5,,,,,,,,,,,,,,,,,82.59965,88.73733,83.5,89.5,,,,,,,,,,,,,,,,,83.27246,88.97098,83.5,90.5,,,,,,,,,,,,,,,,
